id,nct_id,outcome_type,title,description,time_frame,population,anticipated_posting_date,anticipated_posting_month_year,units,units_analyzed,dispersion_type,param_type
100897276,NCT01762761,SECONDARY,Time to Response,"Time to response is defined as time from the startin of treatment to the first time of achieving a platelet count \>=50x10\^9/L during the first 6 weeks of Stage 1. Time to response is summarized using Kaplan-Meier estimates and compared between treatment groups using a stratified log-rank test, stratifying for the use of ITP medication at Baseline (yes/no), splenectomy (yes/no), Baseline platelet count \<=15x10\^9/L (yes/no). The pike estimator of the treatment hazard ratio is based on the stratified log-rank test. Complete blood count including platelet count was done at Week 1, Week 2, Week 3, Week 4, Week 5 and Week 6.",From the start of study treatment (Day 1) up to the end of Week 6 of Stage 1,ITT Population: was comprised of all randomized participants who received at least 1 dose of study medication \& with at least 1 platelet count post-baseline in Stage 1. Only those participants with a response were analyzed.,,,Weeks,,95% Confidence Interval,MEDIAN
100897277,NCT01762761,SECONDARY,"Number of Participants Who Required Protocol-defined Rescue Treatment During the First 6 Weeks of Stage 1, Whole Stages 2 & 3","Rescue treatment is defined as either a new ITP medication, an increase in dose of concomitant ITP medication from Baseline, a platelet transfusion, or a splenectomy. Logistic regression analysis was adjusted for use of ITP medication at Baseline (yes/no), splenectomy (yes/no), Baseline platelet count \<=15x10\^9/L (yes/no) and treatment.",From the start of study treatment (Day 1) up to the end of Stage 3,"ITT Population: was comprised of all rand. participats who received at least 1 dose of study medication \& with at least 1 platelet count post-baseline (BL) in stages 1, 2 \& 3.",,,Participants,,,NUMBER
100897278,NCT01762761,SECONDARY,Number of Participants With a Platelet Count >=50×10^9/L During at Least 75% of Their Platelet Count Assessments,"The number of participants with a platelet count \>=50×10\^9/L during at least 75% of their platelet count assessments was analyzed up to the end of Week 6 of Stage 1. Logistic regression analysis was adjusted for use of ITP medication at Baseline (yes/no), splenectomy (yes/no), Baseline platelet count \<=15x10\^9/L (yes/no) and treatment. Complete blood count including platelet count was done at Week 1, Week 2, Week 3, Week 4, Week 5 and Week 6.",From the start of study treatment (Day 1) up to the end of Stage 3,"ITT Population: was comprised of all rand. participants who received at least 1 dose of study medication \& with at least 1 platelet count post-baseline (BL) in stages 1, 2 \& 3.",,,Participants,,,NUMBER
100897279,NCT01762761,SECONDARY,Total Duration of Time a Participant Had a Platelet Count >=50×10^9/L,"Total duration of time a participant had platelet count \>=50 x 10\^9/L was analyzed using the van Elteren stratified rank test with stratification factors including the use of ITP medication at Baseline (yes/no), splenectomy (yes/no) and Baseline platelet count \<=15x10\^9/L (yes/no). Complete blood count including platelet count was done at Week 1, Week 2, Week 3, Week 4, Week 5 and Week 6.",From the start of study treatment (Day 1) up to the end of Stage 3,"ITT Population: was comprised of all rand. participants who received at least 1 dose of study medication \& with at least 1 platelet count post-baseline (BL) in stages 1, 2 \& 3.",,,Weeks,,Inter-Quartile Range,MEDIAN
100897280,NCT01762761,SECONDARY,Maximum Period of Time a Participant Had a Platelet Count Continuously >= 50 ×10^9/L,"Maximum period of time a participant had a platelet count continously \>=50 x 10\^9/L was analyzed using the van Elteren stratified rank test with stratification factors including the use of ITP medication at Baseline (yes/no), splenectomy (yes/no) and Baseline platelet count \<=15x10\^9/L (yes/no). Complete blood count including platelet count was done at Week 1, Week 2, Week 3, Week 4, Week 5 and Week 6.",From the start of study treatment (Day 1) up to the end of Stage 3,"ITT Population: was comprised of all rand. participants who received at least 1 dose of study medication \& with at least 1 platelet count post-baseline (BL) in stages 1, 2 \& 3.",,,Weeks,,Inter-Quartile Range,MEDIAN
100897281,NCT01762761,SECONDARY,Number of Participants That Reduced or Discontinued Baseline Concomitant ITP Medications During Stage 2 and Stage 3,The number of participants taking concomitant ITP medications on Day 1 of Stage 1 who had a decrease in the dose or frequency of ITP medication or stopped ITP medication at any point during Stage 2 or Stage 3 will be presented. The Baseline concomitant ITP medication for Stage 2 and Stage 3 is defined as ITP medications taken prior to the first dose of investigational product of Stage 1. This study is still ongoing and this endpoint can only be analyzed when the stage 2 and stage 3 complete.,From the start of Stage 2 to the end of Stage 3,ITT Population: was comprised of all rand. participants who received at least 1 dose of study medication \& with at least 1 platelet count post-baseline (BL) in stages 2 \& 3.,,,Participants,,,NUMBER
100897282,NCT01762761,SECONDARY,Number of Participants With Any Adverse Event (AE) or Serious Adverse Event (SAE),"An AE is defined as any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease (new or exacerbated) temporally associated with the use of a medicinal product whether or not considered related to the medicinal product.A SAE is any untoward medical occurrence that, at any dose results in death, is life-threatening, requires hospitalization or prolongation of existing hospitalization, is a congenital anomaly/birth defect or is associated with protocol specified liver injury and impaired liver function or is any protocol specific AEs.",From the start of study treatment (Day 1) up to the end of Week 8 of Stage 1,Safety Population: all randomized participants who received at least one dose of the study treatment.,,,Participants,,,NUMBER
101024049,NCT00878553,SECONDARY,Digit Symbol Substitution Test,"Assessment of next-day residual cognitive effects. The Digit Symbol Substitution Test (DSST) explores attention and psychomotor speed. Given a code table displaying the correspondence between pairs of digits (from 1 to 9) and symbols, the patient filled in blank squares with the symbol that was paired with the digit displayed above the square. The patient was required to fill in as many squares as possible in 180 seconds.",9 hours after tablet ingestion,Intention to Treat population (all randomized patients),,,percentage change from mean baseline,,Standard Error,MEAN
101133833,NCT04134728,SECONDARY,Percentage of Participants With ACR70 at Week 24 for Placebo Switched Arms That Started Study Intervention From Week 12,"ACR70 is calculated as a 70% improvement from Baseline in TJC68 and SJC66 and a 70% improvement in 3 of the following 5 measures: Patient's Global Assessment of Arthritis Disease Activity (PtGA), Physician Global Assessment of Arthritis Disease Activity (PhGA) (VAS values from 0=best to 100=worst), Patient Assessment of Arthritis Pain (VAS values from 0=no pain to 100=most severe pain), Health Assessment Questionnaire-Disability Index (HAQ-DI) (0=least difficulty to 3=extreme difficulty) and an acute-phase reactant (high sensitivity C-reactive Protein mg/L (hsCRP).",Week 24,The analysis was performed on all randomized participants who switched from placebo to study intervention at Week 12. Analysis was performed using multiple imputation method to handle missing data.,,,Percentage of participants,,,NUMBER
101133834,NCT04134728,SECONDARY,Percentage of Participants With Disease Activity Score Using 28 Joint Count and C-Reactive Protein (DAS28-CRP) <=3.2 (DAS28-CRP LDA) at Week 12,"The DAS28-CRP is a measure of RA disease activity calculated using Tender Joint Count 28 (TJC28), Swollen Joint Count 28 (SJC28), C-reactive protein (CRP) (in mg/L), Patient's Global Assessment of Arthritis Disease Activity (PtGA) (visual analogue scale with values from 0=best to 100=worst). DAS28-CRP scores range from 1.0 to 9.4, where lower scores indicates less disease activity. Low disease activity (LDA) is achieved when DAS28-CRP\<=3.2. A negative change from baseline in DAS28-CRP indicates an improvement. For the purpose of all analyses up to week 12, the placebo arms were pooled into a single placebo arm to primarily serve as a reference for the comparison of active treatment arms.",Week 12,The analysis was performed on the ITT Set that includes all randomized participants who received at least one dose of study intervention. This population was based on the treatment the participants were randomized into. Analysis was performed using multiple imputation method to handle missing data.,,,Percentage of participants,,,NUMBER
101143189,NCT02447952,OTHER_PRE_SPECIFIED,Number of Participants Reporting Impact on Sleep,"Participant feedback on how much the sensor impacted their sleep was categorized as ""not at all"", ""moderately"" and ""minimally"". Only those participants with data available at the specified time points were analyzed (represented by n=X in the category titles).",Up to Week 48,Full Analysis Set,,,Participants,,,NUMBER
100897283,NCT01762761,SECONDARY,Number of Participants With the Maximum Toxicity Grade for the Indicated Clinical Chemistry Parameters,"Clinical chemistry parameters aspartate amino transferase (AST), alanine amino transferase (ALT), gamma glutamyl transferase (GGT), total bilirubin, albumin, alkaline phosphatase, calcium, potassium, creatinine, glucose and sodium were evaluated at Baseline, at all on therapy visits, and at Week 1, Week 2, Week 3, and Week 4 visits during the follow-up period and were summarized according to the National Cancer Institute Common Terminology Criteria for Adverse Events version 4 (NCI CTCAE V4.0): Grade 0, none; Grade 1, mild; Grade 2, moderate; Grade 3, severe or medically significant; Grade 4, life-threatening consequences; Grade 5, death related to AE. Day 1 assessment was considered as Baseline; if Day 1 was not available then Screening assessment is taken as Baseline. For creatinine, Baseline is defined as the average of Screening and Day 1 values if available and prior to first dose. Maximum post-Baseline toxicity grade included any scheduled or unscheduled post-Baseline assessment",From the start of study treatment (Day 1) up to the end of Week 6 of Stage 1,Safety Population. Only those participants with data available at the specified time points were analyzed.,,,Participants,,,NUMBER
100897284,NCT01762761,SECONDARY,Number of Participants With the Maximum Toxicity Grade for the Indicated Hematology Parameters,"Clinical hematology parameters hemoglobin, lymphocytes, platelet count, total neutrophils, white blood cell count evaluations were performed at Baseline, at all on-therapy visits, and at Week 1, Week 2, Week 3, and Week 4 visits during the follow-up period and were summarized according to the NCI CTCAE V4.0: Grade 0, none; Grade 1, mild; Grade 2, moderate; Grade 3, severe or medically significant; Grade 4, life-threatening consequences; Grade 5, death related to AE. Day 1 assessment was considered as Baseline; if Day 1 was not available then Screening assessment is taken as Baseline. Maximum post-Baseline toxicity grade included any scheduled or unscheduled post-Baseline assessment.",From the start of study treatment (Day 1) up to the end of Week 6 of Stage 1,Safety Population. Only those participants with data available at the specified time points were analyzed.,,,Participants,,,NUMBER
